1,ride,Alice in Wonderland,,Disneyland,Fantasyland,T,0,30
2,ride,Animation Academy,,Disney California Adventure,Hollywood Land,T,0,30
3,ride,Astro Orbitor,,Disneyland,Tomorrowland,T,0,30
4,ride,Autopia ,,Disneyland,Tomorrowland,T,32,45
5,ride,The Bakery Tour,,Disney California Adventure,Pacific Wharf,T,0,15
6,ride,Big Thunder Mountain Railroad,,Disneyland,Frontierland,T,40,45
7,ride,Buzz Lightyear Astro Blasters,,Disneyland,Tomorrowland,T,0,30
8,ride,Casey Jr. Circus Train ,,Disneyland,Fantasyland,T,0,30
9,ride,Chip 'n Dale Treehouse,,Disneyland,Mickey's Toon Town,T,0,15
10,ride,Davy Crockett's Explorer Canoes,,Disneyland,Critter Country,T,0,30
11,ride,Disneyland Monorail,,Disneyland,Tomorrowland,T,0,30
12,ride,Disneyland Railroad,,Disneyland,"Main Street, U.S.A.",T,0,45
13,ride,Great Moments with Mr. Lincoln,,Disneyland,"Main Street, U.S.A.",T,0,30
14,ride,Donald's Boat,,Disneyland,Mickey's Toon Town,T,0,30
15,ride,Dumbo the Flying Elephant,,Disneyland,Fantasyland,T,0,30
16,ride,Finding Nemo Submarine Voyage ,,Disneyland,Tomorrowland,T,0,45
17,ride,Gadget's Go Coaster,,Disneyland,Mickey's Toon Town,T,35,30
18,ride,Golden Zephyr,,Disney California Adventure,Paradise Gardens,T,0,30
19,ride,Goofy's Sky School,,Disney California Adventure,Paradise Gardens,T,42,30
20,ride,Grizzly River Run,,Disney California Adventure,Grizzly Peak,T,42,60
21,ride,Guardians of the Galaxy – Mission: BREAKOUT!,,Disney California Adventure,Hollywood Land,F,40,60
22,ride,Haunted Mansion,,Disneyland,New Orleans Square,T,0,30
23,ride,Incredicoaster,,Disney California Adventure,Pixar Pier,F,0,60
24,ride,Indiana Jones Adventure,,Disneyland,Adventureland,T,48,60
25,ride,Inside Out Emotional Whirlwind ,,Disney California Adventure,Pixar Pier,T,46,30
26,ride,It's A Small World,,Disneyland,Fantasyland,T,0,45
27,ride,Jessie's Critter Carousel,,Disney California Adventure,Pixar Pier,T,0,30
28,ride,Jumpin' Jellyfish ,,Disney California Adventure,Paradise Gardens,T,0,30
29,ride,Jungle Cruise,,Disneyland,Adventureland,T,0,45
30,ride,King Arthur Carrousel,,Disneyland,Fantasyland,T,0,30
31,ride,The Little Mermaid,,Disney California Adventure,Paradise Gardens,T,0,30
32,ride,Luigi's Rollickin' Roadsters,,Disney California Adventure,Cars Land,T,32,30
33,ride,Mad Tea Party ,,Disneyland,Fantasyland,T,0,30
34,ride,Main Street Vehicles,,Disneyland,"Main Street, U.S.A.",T,0,30
35,ride,The Many Adventures of Winnie the Pooh,,Disneyland,Critter Country,T,0,30
36,ride,Mark Twain Riverboat,,Disneyland,New Orleans Square,T,0,30
37,ride,Mater's Junkyard Jamboree,,Disney California Adventure,Cars Land,T,32,30
38,ride,Matterhorn Bobsleds,,Disneyland,Fantasyland,T,42,60
39,ride,Mickey's PhilharMagic,,Disney California Adventure,Hollywood Land,T,0,45
40,ride,Millennium Falcon: Smugglers Run,,Disneyland,Galaxy's Edge,T,0,60
41,ride,"Monsters, Inc. Mike & Sulley to the Rescue!",,Disney California Adventure,Hollywood Land,T,0,30
42,ride,Mr. Toad's Wild Ride ,,Disneyland,Fantasyland,T,0,30
43,ride,Peter Pan's Flight,,Disneyland,Fantasyland,T,0,60
44,ride,Pinocchio's Daring Journey,,Disneyland,Fantasyland,T,0,30
45,ride,Pirate's Lair on Tom Sawyer Island,,Disneyland,Frontierland,T,0,60
46,ride,Pirates of the Caribbean,,Disneyland,New Orleans Square,T,0,45
47,ride,Pixar Pal-A-Round,,Disney California Adventure,Pixar Pier,T,0,45
48,ride,Radiator Springs Racers,,Disney California Adventure,Cars Land,T,40,60
49,ride,Red Car Trolley,,Disney California Adventure,Hollywood Land,T,0,30
50,ride,Roger Rabbit's Car Toon Spin,,Disneyland,Mickey's Toon Town,T,0,30
51,ride,Sailing Ship Columbia ,,Disneyland,Frontierland,T,0,30
52,ride,Silly Symphony Swings,,Disney California Adventure,Paradise Gardens,T,40,30
53,ride,Sleeping Beauty Castle Walkthrough,,Disneyland,Fantasyland,T,0,30
54,ride,Snow White's Scary Adventures,,Disneyland,Fantasyland,T,0,30
55,ride,Soarin' Around the World,,Disney California Adventure,Grizzly Peak,T,40,60
56,ride,Sorcerer's Workshop,,Disney California Adventure,Hollywood Land,T,0,60
57,ride,Space Mountain,,Disneyland,Tomorrowland,T,40,90
58,ride,Splash Mountain,,Disneyland,Critter Country,T,40,90
59,ride,Star Tours,,Disneyland,Tomorrowland,T,40,60
